"record_id","优先级","发布时间","页面任务","正式 URL","主 CTA","状态","负责人","US 搜索量","搜索意图","全球搜索量","内容类型","所属模块","全球 CPC","US CPC","主关键词","辅助关键词","Blog标题"
"rec27VVx7NOE0q","""P0""","26-08-11","承接 AI 安全供应商与 AI Agent 安全平台的商业选型意图；以 best ai security companies 为核心关键词，platform/company/tools 等同意图词作为辅助关键词，不再拆成多个 Best 页面。","/best/ai-security-companies","Start Free / Book a demo","""未上线""","{""id"":""ou_fe6427fd655d14a40010de9abfc50027"",""name"":""刘又瑄""}","","商业选型","1,000","""Best""","""Blog""","","","best ai security companies","best ai agent security platforms; ai agent security platforms; ai security platforms; ai agent security companies; agent security vendors; best ai security tools","Best AI Security Companies"
"rec27VVx7NOGPg","""P0""","26-08-11","Runtime Guard 对应工具选型","/best/ai-runtime-security-tools","Start Free / Book a demo","""未上线""","{""id"":""ou_fe6427fd655d14a40010de9abfc50027"",""name"":""刘又瑄""}","","商业选型","","""Best""","""Blog""","","","best ai runtime security tools","","Best AI Runtime Security Tools"
"rec27VVx7NOI76","""P0""","26-08-11","MCP Security 对应工具选型","/best/mcp-security-tools","Start Free / Book a demo","""未上线""","{""id"":""ou_fe6427fd655d14a40010de9abfc50027"",""name"":""刘又瑄""}","","商业选型","","""Best""","""Blog""","","","best mcp security tools","","Best MCP Security Tools"
"rec27VVx7NOJ4s","""P0""","","Guardrails 对应方案选型","/best/ai-agent-guardrails","Start Free / Book a demo","""未上线""","","","商业选型","","""Best""","""Blog""","","","best ai agent guardrails","","Best AI Agent Guardrails"
"rec27VVx7NOK3q","""P0""","26-08-18","Coding Agent 对应工具选型","/best/ai-coding-agent-security-tools","Start Free / Book a demo","""未上线""","","","商业选型","","""Best""","""Blog""","","","best ai coding agent security tools","","Best AI Coding Agent Security Tools"
"recvrvmQ09Rtsb","""P0""","26-08-18","Deep Scan 对应工具选型","/best/ai-agent-component-scanning-tools","Start Free / Book a demo","""未上线""","","","商业选型","","""Best""","""Blog""","","","best ai agent component scanning tools","","Best AI Agent Component Scanning Tools"
"recvrvmQ098OG8","""P0""","26-08-18","Threat Intelligence 对应平台选型","/best/ai-threat-intelligence-platforms","Start Free / Book a demo","""未上线""","","","商业选型","","""Best""","""Blog""","","","best ai threat intelligence platforms","","Best AI Threat Intelligence Platforms"
"recvrvmQ09Xqrk","""P0""","26-08-18","现有核心主题对应工具选型","/best/ai-security-posture-management-tools","Start Free / Book a demo","""未上线""","","","商业选型","","""Best""","""Blog""","","","best ai security posture management tools","","Best AI Security Posture Management Tools"
"recvrvmQ09HvO1","""P0""","26-08-18","现有核心主题对应工具选型","/best/ai-firewall-tools","Start Free / Book a demo","""未上线""","","","商业选型","","""Best""","""Blog""","","","best ai firewall tools","","Best AI Firewall Tools"
"recvrvmQ09TcmN","""P0""","26-08-18","现有核心主题对应工具选型","/best/ai-agent-identity-access-management-tools","Start Free / Book a demo","""未上线""","","","商业选型","","""Best""","""Blog""","","","best ai agent identity and access management tools","","Best AI Agent Identity and Access Management Tools"
"recvrvmQ098XNe","""P0""","26-08-18","现有核心主题对应工具选型","/best/ai-agent-data-loss-prevention-tools","Start Free / Book a demo","""未上线""","","","商业选型","","""Best""","""Blog""","","","best ai data loss prevention tools for ai agents","","Best AI Data Loss Prevention Tools for AI Agents"
"recvrvmQ09LWca","""P0""","26-08-18","现有核心主题对应工具选型","/best/ai-agent-observability-tools","Start Free / Book a demo","""未上线""","","","商业选型","","""Best""","""Blog""","","","best ai agent observability tools","","Best AI Agent Observability Tools"
"recvrvmQ09Ayt6","""P0""","26-08-25","现有核心主题对应平台选型","/best/ai-agent-governance-platforms","Start Free / Book a demo","""未上线""","","","商业选型","","""Best""","""Blog""","","","best ai agent governance platforms","","Best AI Agent Governance Platforms"
