"record_id","发布时间","状态","优先级","辅助关键词","全球 CPC","搜索意图","所属模块","负责人","主关键词","内容类型","正式 URL","全球搜索量","Blog标题","US 搜索量","主 CTA","US CPC","页面任务"
"rec27VVx7NOE0q","26-08-11","""已上线""","""P0""","best ai agent security platforms; ai agent security platforms; ai security platforms; ai agent security companies; agent security vendors; best ai security tools","","商业选型","""Blog""","{""id"":""ou_fe6427fd655d14a40010de9abfc50027"",""name"":""刘又瑄""}","best ai security companies","""Best""","/best/ai-security-companies","1,000","Best AI Security Companies","","Start Free / Book a demo","","承接 AI 安全供应商与 AI Agent 安全平台的商业选型意图；以 best ai security companies 为核心关键词，platform/company/tools 等同意图词作为辅助关键词，不再拆成多个 Best 页面。"
"rec27VVx7NOGPg","26-08-11","""已上线""","""P0""","","","商业选型","""Blog""","{""id"":""ou_fe6427fd655d14a40010de9abfc50027"",""name"":""刘又瑄""}","best ai runtime security tools","""Best""","/best/ai-runtime-security-tools","","Best AI Runtime Security Tools","","Start Free / Book a demo","","Runtime Guard 对应工具选型"
"rec27VVx7NOI76","26-08-11","""已上线""","""P0""","","","商业选型","""Blog""","{""id"":""ou_fe6427fd655d14a40010de9abfc50027"",""name"":""刘又瑄""}","best mcp security tools","""Best""","/best/mcp-security-tools","","Best MCP Security Tools","","Start Free / Book a demo","","MCP Security 对应工具选型"
"rec27VVx7NOJ4s","","""未上线""","""P0""","","","商业选型","""Blog""","","best ai agent guardrails","""Best""","/best/ai-agent-guardrails","","Best AI Agent Guardrails","","Start Free / Book a demo","","Guardrails 对应方案选型"
"rec27VVx7NOK3q","26-08-18","""未上线""","""P0""","","","商业选型","""Blog""","","best ai coding agent security tools","""Best""","/best/ai-coding-agent-security-tools","","Best AI Coding Agent Security Tools","","Start Free / Book a demo","","Coding Agent 对应工具选型"
"recvrvmQ09Rtsb","26-08-18","""未上线""","""P0""","","","商业选型","""Blog""","","best ai agent component scanning tools","""Best""","/best/ai-agent-component-scanning-tools","","Best AI Agent Component Scanning Tools","","Start Free / Book a demo","","Deep Scan 对应工具选型"
"recvrvmQ098OG8","26-08-18","""未上线""","""P0""","","","商业选型","""Blog""","","best ai threat intelligence platforms","""Best""","/best/ai-threat-intelligence-platforms","","Best AI Threat Intelligence Platforms","","Start Free / Book a demo","","Threat Intelligence 对应平台选型"
"recvrvmQ09Xqrk","26-08-18","""未上线""","""P0""","","","商业选型","""Blog""","","best ai security posture management tools","""Best""","/best/ai-security-posture-management-tools","","Best AI Security Posture Management Tools","","Start Free / Book a demo","","现有核心主题对应工具选型"
"recvrvmQ09HvO1","26-08-18","""未上线""","""P0""","","","商业选型","""Blog""","","best ai firewall tools","""Best""","/best/ai-firewall-tools","","Best AI Firewall Tools","","Start Free / Book a demo","","现有核心主题对应工具选型"
"recvrvmQ09TcmN","26-08-18","""未上线""","""P0""","","","商业选型","""Blog""","","best ai agent identity and access management tools","""Best""","/best/ai-agent-identity-access-management-tools","","Best AI Agent Identity and Access Management Tools","","Start Free / Book a demo","","现有核心主题对应工具选型"
